x,y1,y2,y3
0.296396,1.07328,1.65283,0.968678
0.297186,1.07328,1.65283,0.968678
0.297977,1.07328,1.65283,0.968678
0.298767,1.07481,1.66004,0.968465
0.299557,1.07481,1.66004,0.968465
0.300348,1.07481,1.66004,0.968465
0.301138,1.07481,1.66004,0.968465
0.301929,1.07635,1.66726,0.968254
0.302719,1.07635,1.66726,0.968254
0.303509,1.07635,1.66726,0.968254
0.3043,1.07635,1.66726,0.968254
0.30509,1.07791,1.67448,0.968047
0.30588,1.07791,1.67448,0.968047
0.306671,1.07791,1.67448,0.968047
0.307461,1.07791,1.67448,0.968047
0.308252,1.07948,1.68172,0.967842
0.309042,1.07948,1.68172,0.967842
0.309832,1.07948,1.68172,0.967842
0.310623,1.07948,1.68172,0.967842
0.311413,1.08107,1.68897,0.967641
0.312204,1.08107,1.68897,0.967641
0.312994,1.08107,1.68897,0.967641
0.313784,1.08107,1.68897,0.967641
0.314575,1.08267,1.69622,0.967442
0.315365,1.08267,1.69622,0.967442
0.316156,1.08267,1.69622,0.967442
0.316946,1.08267,1.69622,0.967442
0.317736,1.08429,1.70349,0.967246
0.318527,1.08429,1.70349,0.967246
0.319317,1.08429,1.70349,0.967246
0.320107,1.08429,1.70349,0.967246
0.320898,1.08592,1.71076,0.967053
0.321688,1.08592,1.71076,0.967053
0.322479,1.08592,1.71076,0.967053
0.323269,1.08592,1.71076,0.967053
0.324059,1.08756,1.71805,0.966863
0.32485,1.08756,1.71805,0.966863
0.32564,1.08756,1.71805,0.966863
0.326431,1.08756,1.71805,0.966863
0.327221,1.08923,1.72534,0.966676
0.328011,1.08923,1.72534,0.966676
0.328802,1.08923,1.72534,0.966676
0.329592,1.08923,1.72534,0.966676
0.330383,1.0909,1.73265,0.966492
0.331173,1.0909,1.73265,0.966492
0.331963,1.0909,1.73265,0.966492
0.332754,1.0909,1.73265,0.966492
0.333544,1.09259,1.73996,0.966311
0.334334,1.09259,1.73996,0.966311
0.335125,1.09259,1.73996,0.966311
0.335915,1.09259,1.73996,0.966311
0.336706,1.0943,1.74729,0.966133
0.337496,1.0943,1.74729,0.966133
0.338286,1.0943,1.74729,0.966133
0.339077,1.0943,1.74729,0.966133
0.339867,1.09602,1.75462,0.965958
0.340658,1.09602,1.75462,0.965958
0.341448,1.09602,1.75462,0.965958
0.342238,1.09602,1.75462,0.965958
0.343029,1.09775,1.76197,0.965786
0.343819,1.09775,1.76197,0.965786
0.34461,1.09775,1.76197,0.965786
0.3454,1.09775,1.76197,0.965786
0.34619,1.09951,1.76933,0.965617
0.346981,1.09951,1.76933,0.965617
0.347771,1.09951,1.76933,0.965617
0.348561,1.09951,1.76933,0.965617
0.349352,1.10127,1.77669,0.965451
0.350142,1.10127,1.77669,0.965451
0.350933,1.10127,1.77669,0.965451
0.351723,1.10127,1.77669,0.965451
0.352513,1.10305,1.78407,0.965288
0.353304,1.10305,1.78407,0.965288
0.354094,1.10305,1.78407,0.965288
0.354885,1.10305,1.78407,0.965288
0.355675,1.10484,1.79146,0.965128
0.356465,1.10484,1.79146,0.965128
0.357256,1.10484,1.79146,0.965128
0.358046,1.10484,1.79146,0.965128
0.358837,1.10665,1.79886,0.964971
0.359627,1.10665,1.79886,0.964971
0.360417,1.10665,1.79886,0.964971
0.361208,1.10665,1.79886,0.964971
0.361998,1.10848,1.80627,0.964818
0.362788,1.10848,1.80627,0.964818
0.363579,1.10848,1.80627,0.964818
0.364369,1.10848,1.80627,0.964818
0.36516,1.11032,1.81369,0.964668
0.36595,1.11032,1.81369,0.964668
0.36674,1.11032,1.81369,0.964668
0.367531,1.11032,1.81369,0.964668
0.368321,1.11217,1.82112,0.96452
0.369112,1.11217,1.82112,0.96452
0.369902,1.11217,1.82112,0.96452
0.370692,1.11217,1.82112,0.96452
0.371483,1.11404,1.82857,0.964376
0.372273,1.11404,1.82857,0.964376
0.373064,1.11404,1.82857,0.964376
0.373854,1.11404,1.82857,0.964376
0.374644,1.11592,1.83602,0.964235
0.375435,1.11592,1.83602,0.964235
0.376225,1.11592,1.83602,0.964235
0.377015,1.11592,1.83602,0.964235
0.377806,1.11782,1.84349,0.964098
0.378596,1.11782,1.84349,0.964098
0.379387,1.11782,1.84349,0.964098
0.380177,1.11782,1.84349,0.964098
0.380967,1.11973,1.85097,0.963963
0.381758,1.11973,1.85097,0.963963
0.382548,1.11973,1.85097,0.963963
0.383339,1.11973,1.85097,0.963963
0.384129,1.12166,1.85846,0.963832
